network,node1,node2,shortest_path,distance,path_in_N_networks,edge_weight,edge_betweenness
hetero,113,415,"[113, 110, 213, 415]",3,1,,
hetero,113,418,"[113, 110, 418]",2,1,,
hetero,113,419,"[113, 318, 116, 419]",3,1,,
hetero,113,510,"[113, 111, 314, 510]",3,1,,
hetero,113,511,"[113, 110, 511]",2,1,,
hetero,113,119,"[113, 111, 119]",2,1,,
hetero,112,114,"[112, 319, 114]",2,1,,
hetero,112,116,"[112, 110, 318, 116]",3,1,,
hetero,112,117,"[112, 110, 318, 117]",3,1,,
hetero,112,121,"[112, 110, 318, 116, 121]",4,1,,
hetero,112,122,"[112, 319, 122]",2,1,,
hetero,112,124,"[112, 110, 318, 116, 124]",4,1,,
hetero,112,125,"[112, 211, 125]",2,1,,
hetero,112,213,"[112, 110, 213]",2,1,,
hetero,112,310,"[112, 319, 310]",2,1,,
hetero,112,311,"[112, 214, 311]",2,1,,
hetero,112,312,"[112, 214, 311, 312]",3,1,,
hetero,112,313,"[112, 318, 313]",2,1,,
hetero,112,314,"[112, 111, 314]",2,1,,
hetero,112,415,"[112, 110, 213, 415]",3,1,,
hetero,112,418,"[112, 110, 418]",2,1,,
hetero,112,419,"[112, 110, 318, 116, 419]",4,1,,
hetero,112,510,"[112, 110, 318, 510]",3,1,,
hetero,112,511,"[112, 110, 511]",2,1,,
hetero,112,118,"[112, 111, 118]",2,1,,
hetero,112,119,"[112, 111, 119]",2,1,,
hetero,112,316,"[112, 111, 316]",2,1,,
hetero,111,115,"[111, 110, 115]",2,1,,
hetero,111,116,"[111, 318, 116]",2,1,,
hetero,111,117,"[111, 318, 117]",2,1,,
hetero,111,121,"[111, 318, 116, 121]",3,1,,
hetero,111,122,"[111, 112, 319, 122]",3,1,,
hetero,111,124,"[111, 318, 116, 124]",3,1,,
hetero,111,125,"[111, 211, 125]",2,1,,
hetero,111,214,"[111, 318, 214]",2,1,,
hetero,111,310,"[111, 112, 319, 310]",3,1,,
hetero,111,311,"[111, 110, 214, 311]",3,1,,
hetero,111,312,"[111, 110, 214, 311, 312]",4,1,,
hetero,111,313,"[111, 318, 313]",2,1,,
hetero,111,319,"[111, 112, 319]",2,1,,
hetero,111,415,"[111, 213, 415]",2,1,,
hetero,111,418,"[111, 110, 418]",2,1,,
hetero,111,419,"[111, 318, 116, 419]",3,1,,
hetero,111,510,"[111, 318, 510]",2,1,,
hetero,111,511,"[111, 110, 511]",2,1,,
hetero,110,114,"[110, 514, 318, 112, 319, 114]",5,1,,
hetero,110,116,"[110, 318, 116]",2,1,,
hetero,110,117,"[110, 318, 117]",2,1,,
hetero,110,121,"[110, 318, 116, 121]",3,1,,
hetero,110,122,"[110, 514, 318, 112, 319, 122]",5,1,,
hetero,110,124,"[110, 318, 116, 124]",3,1,,
hetero,110,125,"[110, 111, 211, 125]",3,1,,
hetero,110,310,"[110, 514, 318, 112, 319, 310]",5,1,,
hetero,110,311,"[110, 214, 311]",2,1,,
hetero,110,312,"[110, 214, 311, 312]",3,1,,
hetero,110,313,"[110, 514, 313]",2,1,,
hetero,110,314,"[110, 510, 314]",2,1,,
hetero,110,319,"[110, 514, 318, 112, 319]",4,1,,
hetero,110,415,"[110, 213, 415]",2,1,,
hetero,110,419,"[110, 318, 116, 419]",3,1,,
hetero,110,118,"[110, 514, 318, 118]",3,1,,
hetero,110,119,"[110, 510, 314, 119]",3,1,,
hetero,110,316,"[110, 514, 318, 316]",3,1,,
